rowid,Compartment,Feature,Channel,Suffix,Feature significance,Perturbation,Corrected p-value,Phenotypic activity,Perturbation example image,Median,Gene Rank,Feature Rank,JCP2022,Resources,Synonyms
37352,Cytoplasm,Texture_InfoMeas2,Mito,_3_02_256,0,BMP7,0.51355,0.25172,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-07/K19_5.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-07/K19_5.jpg"", ""width"": 200}",1.743,999999,0,JCP2022_800901,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/655"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/112267"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000101144"", ""label"": ""Ensembl""}]",OP-1
17634,Cells,Granularity_3,Mito,,0,ACOT11,0.00782,0.56537,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-08/B20_2.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-08/B20_2.jpg"", ""width"": 200}",2.949,999999,0,JCP2022_800116,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/26027"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/606803"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT11"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000162390"", ""label"": ""Ensembl""}]",BFIT|STARD14|THEA|THEM1
40924,Nuclei,RadialDistribution_RadialCV,ER,_1of4,0,HSF2,0.03564,0.44626,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-24/K18_4.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-24/K18_4.jpg"", ""width"": 200}",2.983,999999,0,JCP2022_803256,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/3298"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/140581"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF2"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000025156"", ""label"": ""Ensembl""}]",HSF 2|HSTF 2
39906,Cells,Granularity_3,RNA,,0,ZADH2,0.0214,0.50646,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-08/L16_6.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-08/L16_6.jpg"", ""width"": 200}",2.677,999999,0,JCP2022_807742,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/284273"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZADH2"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g="", ""label"": ""Ensembl""}]",PRG-3|PTGR-3|ZADH2
13194,Cells,NeighborsNumberOfNeighbors,,_5,0,FARSB,0.00018,1,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-09/B13_0.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-09/B13_0.jpg"", ""width"": 200}",1.79,999999,0,JCP2022_802272,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/10056"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/609690"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=FARSB"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000116120"", ""label"": ""Ensembl""}]",FARSLB|FRSB|HSPC173|NEDBLLA|PheHB|PheRS|RILDBC|RILDBC1|RJBS
33388,Cytoplasm,Texture_InfoMeas2,Mito,_5_02_256,0,CDC5L,0.00018,0.82267,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-02/P05_1.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-02/P05_1.jpg"", ""width"": 200}",3.532,999999,0,JCP2022_801184,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/988"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/602868"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC5L"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000096401"", ""label"": ""Ensembl""}]",CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1
18407,Cells,AreaShapeZernike,,_0_0,0,CLEC2D,0.56925,0.26897,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-02/O21_4.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-02/O21_4.jpg"", ""width"": 200}",1.49,999999,0,JCP2022_801383,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/29121"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/605659"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC2D"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000069493"", ""label"": ""Ensembl""}]",CLAX|LLT1|OCIL
15859,Cells,Correlation_Manders_DNA,Mito,,0,GALNT8,0.02296,0.59043,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-09/C22_6.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-09/C22_6.jpg"", ""width"": 200}",1.856,999999,0,JCP2022_802600,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/26290"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/606250"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT8"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000130035"", ""label"": ""Ensembl""}]",GALNAC-T8
28238,Cells,Granularity_2,Mito,,0,KCNC4,0.0005,0.59158,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-18/K15_1.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-18/K15_1.jpg"", ""width"": 200}",8.5,23,0,JCP2022_803564,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/3749"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/176265"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNC4"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000116396"", ""label"": ""Ensembl""}]",C1orf30|HKSHIIIC|KSHIIIC|KV3.4
3378,Cells,Granularity_3,Mito,,0,KCND1,0.00206,0.52974,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-17/A14_2.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-17/A14_2.jpg"", ""width"": 200}",1.43,999999,0,JCP2022_803565,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/3750"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/300281"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCND1"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000102057"", ""label"": ""Ensembl""}]",KV4.1
32391,Cytoplasm,Texture_Correlation,Mito,_3_00_256,0,ZSCAN4,0.00018,1,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-22/L22_5.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-22/L22_5.jpg"", ""width"": 200}",2.501,999999,0,JCP2022_807974,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/201516"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/613419"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZSCAN4"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000180532"", ""label"": ""Ensembl""}]",ZNF494
20379,Cells,NeighborsNumberOfNeighbors,,_5,0,SFRP4,0.12457,0.37163,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-10/D10_3.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R3-10/D10_3.jpg"", ""width"": 200}",1.43,999999,0,JCP2022_806298,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/6424"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/606570"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP4"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000106483"", ""label"": ""Ensembl""}]",FRP-4|FRPHE|FRZB-2|PYL|sFRP-4
15144,Cells,Intensity_StdIntensityEdge,ER,,0,GPX5,0.17597,0.34774,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-07/J13_0.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R1-07/J13_0.jpg"", ""width"": 200}",4.332,999999,0,JCP2022_802886,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/2880"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/603435"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX5"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000224586"", ""label"": ""Ensembl""}]",EGLP|GPx-5|GSHPx-5|HEL-S-75p
14513,Nuclei,AreaShapeZernike,,_4_4,0,NR2F1,0.00018,0.9519,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-23/B15_2.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R2-23/B15_2.jpg"", ""width"": 200}",5.122,999999,0,JCP2022_804689,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/7025"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/132890"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F1"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000175745"", ""label"": ""Ensembl""}]",BBOAS|BBSOAS|COUP-TFI|COUPTF1|EAR-3|EAR3|ERBAL3|SVP44|TCFCOUP1|TFCOUP1
19280,Cytoplasm,Granularity_6,Mito,,0,OTUD6B,0.01154,0.50464,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-24/D15_5.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-24/D15_5.jpg"", ""width"": 200}",2.302,999999,0,JCP2022_804829,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/51633"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/612021"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTUD6B"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000155100"", ""label"": ""Ensembl""}]",CGI-77|DUBA-5|DUBA5|IDDFSDA
15662,Cytoplasm,RadialDistribution_FracAtD,RNA,_2of4,0,ZNF215,0.00171,0.59103,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-21/C22_2.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R5-21/C22_2.jpg"", ""width"": 200}",4.456,999999,0,JCP2022_807847,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/7762"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/605016"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF215"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000149054"", ""label"": ""Ensembl""}]",BAZ-2|BAZ2|ZKSCAN11|ZSCAN43
28681,Cells,Texture_InfoMeas1,DNA,_10_02_256,0,AQP12A,0.00573,0.50476,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-18/M09_4.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-18/M09_4.jpg"", ""width"": 200}",2.71,999999,0,JCP2022_800538,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/375318"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/609789"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP12A"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000184945"", ""label"": ""Ensembl""}]",AQP-12|AQP12|AQPX2
29875,Cytoplasm,Granularity_1,RNA,,0,LATS2,0.0005,0.62655,"{""img_src"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-26/B13_7.jpg"", ""href"": ""https://phenaid.ardigen.com/static-jumpcpexplorer/images/source_13/CP-CC9-R4-26/B13_7.jpg"", ""width"": 200}",1.821,999999,0,JCP2022_803780,"[{""href"": ""https://www.ncbi.nlm.nih.gov/gene/26524"", ""label"": ""NCBI""}, {""href"": ""https://www.omim.org/entry/604861"", ""label"": ""OMIM""}, {""href"": ""https://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS2"", ""label"": ""GeneCards""}, {""href"": ""https://useast.ensembl.org/Homo_sapiens/Gene/Splice?g=ENSG00000150457"", ""label"": ""Ensembl""}]",KPM
